Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form Of Contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,NDA/Pre Qualification,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Published Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address
Indian Institute of Technology Madras||Project Purchase - IITM,PY/MSRO/015/2023/GREENLASER,2023_IITM_167405_1,Yes,Open Tender,Supply,Goods,2,No,No,Not Applicable,No,No,No,0.00,Nil,Nil,No,0.00,No,fixed,NA,Nil,Nil,Green Laser System CVD Diamond Cutting and Coring,Green Laser System CVD Diamond Cutting and Coring,Please refer Tender documents.,NA,NA,Miscellaneous Goods,NA,Tender,120,21,Department of Physics,600036,NA,NA,NA,Department of Physics,No,No,12-Sep-2023 06:25 PM,04-Oct-2023 03:00 PM,12-Sep-2023 06:30 PM,03-Oct-2023 03:00 PM,NA,NA,13-Sep-2023 09:00 AM,03-Oct-2023 03:00 PM,The Senior Manager (Project Purchase),"The Senior Manager(Project Purchase)
ICSR,
IIT Madras,
Chennai - 600036"
Indian Institute of Technology Madras||Project Purchase - IITM,PY/MSRA/016/2023/8GHZHANDHELD,2023_IITM_167400_1,Yes,Open Tender,Supply,Goods,2,No,No,Not Applicable,No,No,No,0.00,Nil,Nil,No,0.00,No,fixed,NA,Nil,Nil,8 GHz Handheld All in One Vector Network Analyzer,8 GHz Handheld All in One Vector Network Analyzer,Please refer Tender documents.,NA,NA,Miscellaneous Goods,NA,Tender,120,21,Department of Physics,600036,NA,NA,NA,Department of Physics,No,No,12-Sep-2023 05:35 PM,04-Oct-2023 03:00 PM,12-Sep-2023 05:40 PM,03-Oct-2023 03:00 PM,NA,NA,13-Sep-2023 09:00 AM,03-Oct-2023 03:00 PM,The Senior Manager (Project Purchase),"The Senior Manager(Project Purchase)
ICSR,
IIT Madras,
Chennai - 600036"
Indian Institute of Technology Madras||Project Purchase - IITM,PY/MSRO/014/2023/75TRWATERCH,2023_IITM_167278_1,Yes,Open Tender,Supply,Goods,2,No,No,Offline,No,No,No,0.00,Nil,Nil,No,"70,000",Yes,fixed,NA,Refer to the tender document,Refer to the tender document,75TR WATER CHILLER WATER COOLED,75TR WATER CHILLER WATER COOLED,Please refer Tender documents.,NA,NA,Miscellaneous Goods,NA,Tender,120,14,"D1, IITM Research Park",600113,online,online,16-Sep-2023 09:00 AM,Department of Physics,No,No,11-Sep-2023 06:30 PM,26-Sep-2023 03:00 PM,11-Sep-2023 06:40 PM,25-Sep-2023 03:00 PM,NA,NA,17-Sep-2023 09:00 AM,25-Sep-2023 03:00 PM,The Senior Manager (Project Purchase),"The Senior Manager (Project Purchase), ICSR, IIT-Madras, Chennai- 600036"
Indian Institute of Technology Madras||Project Purchase - IITM,EE/BIJO/013/2023/FPGARFSOC,2023_IITM_166975_1,Yes,Open Tender,Supply,Goods,2,No,No,Not Applicable,No,No,No,0.00,Nil,Nil,No,0.00,No,fixed,NA,Nil,Nil,FPGA RFSoC Evaluation board,FPGA RFSoC Evaluation board,Please refer Tender documents.,NA,NA,Miscellaneous Goods,NA,Tender,120,14,Department of Electrical Engineering,600036,NA,NA,NA,Department of Electrical Engineering,No,No,07-Sep-2023 11:55 AM,21-Sep-2023 03:00 PM,07-Sep-2023 12:00 PM,20-Sep-2023 03:00 PM,NA,NA,08-Sep-2023 09:00 AM,20-Sep-2023 03:00 PM,Senior Manager (Project Purchase),"Senior Manager (Project Purchase)
ICSR
IIT Madras
Chennai"
Indian Institute of Technology Madras||Project Purchase - IITM,ED/ASOK/011/2023/FABRICATION,2023_IITM_165752_1,Yes,Open Tender,Supply,Goods,2,No,No,Not Applicable,No,No,No,0.00,Nil,Nil,No,0.00,No,fixed,NA,Nil,Nil,Fabrication and supply of an underwater robot prototype,Fabrication and supply of an underwater robot prototype,Please refer Tender documents.,NA,NA,Miscellaneous Goods,NA,Tender,120,21,Department of Engineering Design,600036,NA,NA,NA,Department of Engineering Design,No,No,25-Aug-2023 05:25 PM,22-Sep-2023 03:00 PM,25-Aug-2023 05:30 PM,21-Sep-2023 03:00 PM,NA,NA,26-Aug-2023 09:00 AM,21-Sep-2023 03:00 PM,The Senior Manager (Project Purchase),"The Senior Manager (Project Purchase), ICSR , IIT-Madras, Chennai - 600036"
Indian Institute of Technology Madras||Project Purchase - IITM,PY/SUBR/008/2023/MICROWAVE,2023_IITM_165691_1,Yes,Open Tender,Supply,Goods,2,No,No,Not Applicable,No,No,No,0.00,Nil,Nil,No,0.00,No,fixed,NA,Nil,Nil,Microwave Amplifier System,Microwave Amplifier System,Please refer Tender documents.,NA,NA,Miscellaneous Goods,NA,Tender,120,21,Department of Physics,600036,NA,NA,NA,Department of Physics,No,No,25-Aug-2023 03:50 PM,22-Sep-2023 03:00 PM,25-Aug-2023 03:55 PM,21-Sep-2023 03:00 PM,NA,NA,26-Aug-2023 09:00 AM,21-Sep-2023 03:00 PM,Senior Manager (Project Purchase),"Senior Manager (Project Purchase)
ICSR, IIT MADRAS, CHENNAI-600036"
Indian Medicines Pharmaceutical Corporation Limited,09/2023-24/IMPCL/Pur.,2023_IMPCL_165652_1,Yes,Open Tender,Item Rate,Goods,2,No,No,Offline,No,No,No,"5,900",IMPCL,IMPCL,Yes,"1,000",Yes,fixed,NA,IMPCL,IMPCL,NIT FOR RAW MATERIAL SUPPLY,SUPPLY OF VARIOUS RAW MATERIALS FOR THE MANUFACTURING OF AYURVEDIC AND UNANI MEDICINES,AS PER ELIGIBILITY CRITERIA,NA,NA,Drugs and Pharmaceutical Products,HERBS SPICES OILS,Tender,365,365,MOHAN,244715,NA,NA,NA,NEW DELHI,No,No,25-Aug-2023 09:00 AM,06-Oct-2023 02:30 PM,28-Aug-2023 09:00 AM,05-Oct-2023 02:00 PM,NA,NA,28-Aug-2023 09:00 AM,05-Oct-2023 02:00 PM,HOD M,IMPCL CORPORATE OFFICE  B261 OKHLA PHASE 1 NEW DELHI 110020
Indian Oil-Adani Gas Private Limited,IOAGPL/STEEL/OPEN/2023-24/43,2023_AGPL_167519_1,Yes,Open Tender,Tender cum Auction,Services,2,No,No,Not Applicable,No,No,No,0.00,Nil,Nil,No,0.00,No,fixed,NA,Nil,Nil,"ANNUAL RATE CONTRACT FOR MDPE PIPE NETWORK LAYIG, LMC INSTALLTION AND ASSOCIATED WORKS AT IOAGPL PRAYAGRAJ","ANNUAL RATE CONTRACT FOR MDPE PIPE NETWORK LAYIG, LMC INSTALLTION AND ASSOCIATED WORKS AT IOAGPL PRAYAGRAJ",Please refer Tender documents.,NA,NA,Miscellaneous Services,NA,Tender,120,365,Prayagraj,211003,Noida,"IndianOil-Adani Gas Pvt. Ltd.
A-1, 1st Floor, Tower B , Windsor IT Park
Sector- 125 , Noida U.P 201301",18-Sep-2023 11:00 AM,Noida,No,No,14-Sep-2023 06:00 PM,26-Sep-2023 06:00 PM,14-Sep-2023 06:00 PM,25-Sep-2023 06:00 PM,14-Sep-2023 06:00 PM,22-Sep-2023 06:00 PM,14-Sep-2023 06:00 PM,25-Sep-2023 06:00 PM,Technocommercial Manager,"IndianOil-Adani Gas Pvt. Ltd.
A-1, 1st Floor, Tower B , Windsor IT Park
Sector- 125 , Noida U.P  201301"
Indian Oil-Adani Gas Private Limited,IOAGPL/PCP/OPEN/2023-24/45,2023_AGPL_167663_1,Yes,Open Tender,Tender cum Auction,Services,2,No,No,Not Applicable,No,No,No,0.00,Nil,Nil,No,0.00,No,fixed,NA,Nil,Nil,Permanent Cathodic Protection works for U/G Steel Pipeline network at Aligarh U.P.,Permanent Cathodic Protection works for U/G Steel Pipeline network at Aligarh U.P.,As per Tender Documents,NA,NA,Miscellaneous Services,PCP,Tender,120,180,Aligarh U.P,202001,Aligarh U.P,"IndianOil-Adani Gas Pvt. Ltd.
2nd Floor, Nighat Plaza 
Samad Road Center Point
Aligarh, Uttar Pradesh-202001",21-Sep-2023 11:00 AM,Noida,No,No,14-Sep-2023 06:00 PM,29-Sep-2023 06:00 PM,14-Sep-2023 06:00 PM,28-Sep-2023 06:00 PM,14-Sep-2023 06:00 PM,28-Sep-2023 06:00 PM,14-Sep-2023 06:00 PM,28-Sep-2023 06:00 PM,DGM- Techno-Commercial,"M/s IndianOil-Adani Gas Pvt. Ltd,
A-1, 1st Floor, Tower B , Windsor IT Park
Sector- 125 , Noida U.P 201301"
Indian Oil-Adani Gas Private Limited,IOAGPL/22-23/ WARNING MAT/44,2023_AGPL_167513_1,Yes,Open Tender,Tender cum Auction,Goods,2,No,No,Not Applicable,No,No,No,0.00,Nil,Nil,No,0.00,No,fixed,NA,Nil,Nil,Annual Rate Contract for Procurement of Warning Mat for various IOAGPL locations,Annual Rate Contract for Procurement of Warning Mat for various IOAGPL locations,As per Tender,ARC Shall be established for 02 years,NA,Miscellaneous Goods,Warning Mat,Tender,120,730,All IOAGPL Locations,201301,Noida,"M/s Indian Oil Adani Gas Pvt. Ltd.,
1st floor, Tower-B, Windsor IT Park, A-1,
Sector 125, Noida, Uttar Pradesh-201303",20-Sep-2023 11:00 AM,Noida,No,No,13-Sep-2023 06:00 PM,28-Sep-2023 06:00 PM,13-Sep-2023 06:00 PM,27-Sep-2023 06:00 PM,13-Sep-2023 06:00 PM,27-Sep-2023 06:00 PM,13-Sep-2023 06:00 PM,27-Sep-2023 06:00 PM,DGM- Techno-Commercial,"M/s Indian Oil Adani Gas Pvt. Ltd.,
1st floor, Tower-B, Windsor IT Park, A-1,
Sector 125, Noida, Uttar Pradesh-201303"
Indian Oil-Adani Gas Private Limited,IOAGPL/PE/LYG/2023-24/42,2023_AGPL_167570_1,Yes,Open Tender,Tender cum Auction,Services,2,No,No,Not Applicable,No,No,No,0.00,Nil,Nil,No,0.00,No,fixed,NA,Nil,Nil,ANNUAL RATE CONTRACT FOR MDPE PIPE NETWORK LAYING  LMC INSTALLATION AND ASSOCIATED WORKS  FOR  ERNAKULAM CITY GAS DISTRIBUTION PROJECTS,ANNUAL RATE CONTRACT FOR MDPE PIPE NETWORK LAYING  LMC INSTALLATION AND ASSOCIATED WORKS  FOR  ERNAKULAM CITY GAS DISTRIBUTION PROJECTS,AS PER TENDER,NA,NA,"Supply, Erection and Commissioning",TENDER,Rate Contract,120,182,ERNAKULAM,683503,Ernakulam and as per tender,Ernakulam and as per tender,16-Sep-2023 11:00 AM,Noida U.P,No,No,13-Sep-2023 06:00 PM,26-Sep-2023 06:00 PM,13-Sep-2023 06:00 PM,25-Sep-2023 06:00 PM,13-Sep-2023 06:00 PM,24-Sep-2023 06:00 PM,13-Sep-2023 06:00 PM,25-Sep-2023 06:00 PM,MANAGER TECHNOCOMMERCIAL,"IndianOil-Adani Gas Pvt. Ltd.
Windsor IT Park, Sector 125
Gautam Buddh Nagar"
Indian Oil-Adani Gas Private Limited,IOAGPL/PE/LYG/2023-24/42,2023_AGPL_167570_2,Yes,Open Tender,Tender cum Auction,Services,2,No,No,Not Applicable,No,No,No,0.00,Nil,Nil,No,0.00,No,fixed,NA,Nil,Nil,ANNUAL RATE CONTRACT FOR MDPE PIPE NETWORK LAYING  LMC INSTALLATION AND ASSOCIATED WORKS FOR ERNAKULAM CITY GAS DISTRIBUTION PROJECTS,ANNUAL RATE CONTRACT FOR MDPE PIPE NETWORK LAYING  LMC INSTALLATION AND ASSOCIATED WORKS FOR ERNAKULAM CITY GAS DISTRIBUTION PROJECTS,AS PER TENDER,NA,NA,"Supply, Erection and Commissioning",ANNUAL RATE CONTRACT,Tender,120,182,ERNAKULAM,682304,Ernakulam and as per tender,"Indianoil Adani Gas Pvt.Ltd.Andryan Arcade ,4th floor,Kannad ,NH Bypass, Maradu 
post, Ernakulam Kochi 682304",16-Sep-2023 11:00 AM,Noida U.P,No,No,13-Sep-2023 06:00 PM,26-Sep-2023 06:00 PM,13-Sep-2023 06:00 PM,25-Sep-2023 06:00 PM,13-Sep-2023 06:00 PM,24-Sep-2023 06:00 PM,13-Sep-2023 06:00 PM,25-Sep-2023 06:00 PM,MANAGER TECHNOCOMMERCIAL,"IndianOil-Adani Gas Pvt. Ltd.
Windsor IT Park, Sector 125
Gautam Buddh Nagar"
Indian Oil-Adani Gas Private Limited,IOAGPL/SRBOX/2023-24/39,2023_AGPL_165430_2,Yes,Open Tender,Tender cum Auction,Goods,2,No,Yes,Not Applicable,No,No,No,0.00,Nil,Nil,No,0.00,No,fixed,NA,Nil,Nil,Annual Rate Contract for Procurement of Service Regulator Box,Annual Rate Contract for Procurement of Service Regulator Box for all IOAGPL locations,As per Tender,NA,NA,Miscellaneous Goods,Service Regulator Box,Tender,90,730,All IOAGPL Locations,201301,NA,NA,NA,Noida,No,No,13-Sep-2023 06:00 PM,28-Sep-2023 06:00 PM,13-Sep-2023 06:00 PM,27-Sep-2023 06:00 PM,13-Sep-2023 06:00 PM,27-Sep-2023 06:00 PM,13-Sep-2023 06:00 PM,27-Sep-2023 06:00 PM,Manager- Techno-Commercial,"Indian Oil Adani Gas Pvt. Ltd., 1st floor, Tower-B, Windsor IT Park, A-1, Sector 125, Noida, Uttar
Pradesh-201303"
Indian Port Rail Corporation Ltd.,IPRCL/Chennai/ChPA/FH/02,2023_IPRCL_167270_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,"11,800",Indian Port Rail And Ropeway Corporation Ltd,Mumbai,Yes,"17,77,000",Yes,fixed,NA,Indian Port Rail and Ropeway Corporation Ltd,MUMBAI,MODERNIZATION AND UPGRADATION OF CHENNAI FISHING HARBOUR PHASE II PART A WORKS,"MODERNIZATION AND UPGRADATION OF CHENNAI FISHING HARBOUR AT KASIMEDU CHENNAI
PACKAGE II PART A WORKS",Please refer Tender documents.,NA,"8,88,35,341",Civil Works,NA,Tender,120,335,Chennai,600021,NA,NA,NA,Chennai,No,No,11-Sep-2023 06:00 PM,11-Oct-2023 03:30 PM,11-Sep-2023 06:00 PM,10-Oct-2023 03:00 PM,NA,NA,11-Sep-2023 06:00 PM,10-Oct-2023 03:00 PM,Dy.CE/Projects/IPRCL/Chennai,"Indian Port Rail and Ropeway Corporation Ltd 4th Floor Wavoo Mansion Annex Krishnan Koil St
Rajaji Salai Chennai 600001"
Indian Port Rail Corporation Ltd.,IPRCL/Mumbai/Jalna and Wardha/IMWB,2023_IPRCL_167072_1,Yes,Limited,Works,Works,2,No,No,Offline,No,No,No,0.00,Nil,Nil,No,"1,47,600",Yes,fixed,NA,IPRCL,Mumbai,SLT for Supply Installation Commissioning Testing and Stamping of Electronic In Motion Weigh Bridge,SLT for Supply Installation Commissioning Testing and Stamping of Electronic In Motion Weigh Bridge,Please refer Tender documents.,NA,"73,80,000",Machineries/ Mechanical Engg Items,NA,Tender,120,180,Jalna and Wardha Dry Ports,442105,NA,NA,NA,IPRCL Mumbai,No,No,08-Sep-2023 03:00 PM,25-Sep-2023 12:00 PM,08-Sep-2023 03:00 PM,23-Sep-2023 03:00 PM,NA,NA,08-Sep-2023 03:00 PM,23-Sep-2023 03:00 PM,CGM Projects,"Chief General Manager Projects
Indian Port Rail and Ropeway Corporation Limited 
4th Floor Nirman Bhavan MbPT building
M P Road Mazgoan East Mumbai 400010"
Indian Port Rail Corporation Ltd.,IPRCL/Ranchi/CCL-KONAR/69/01,2023_IPRCL_166495_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,"11,800",IPRCL,Mumbai,Yes,"50,11,000",Yes,fixed,NA,IPRCL,Mumbai,EXECUTION OF EARTHWORK IN FORMATION BRIDGES PWAY LINKING WORK INCLUDING SUPPLY OF TRACK BALLAST PWAY FITTINGS POINTS AND CROSSINGS SERVICE BUILDING ETC IN CONNECTION WITH CONSTRUCTION OF A RLY SIDING FOR SILO LOADING SYSTEM FOR KONAR RLY SDG OF CCL,EXECUTION OF EARTHWORK IN FORMATION BRIDGES PWAY LINKING WORK INCLUDING SUPPLY OF TRACK BALLAST PWAY FITTINGS POINTS AND CROSSINGS SERVICE BUILDING ETC IN CONNECTION WITH CONSTRUCTION OF A RLY SIDING FOR SILO LOADING SYSTEM FOR KONAR RLY SDG OF CCL,Please refer Tender Document,NA,"25,05,24,959",Civil Works,NA,Tender,120,540,KONAR,829114,IPRCL Ranchi Office Jharkhand,"Indian Port Rail and Ropeway Corporation Ltd
Flat No-404, 4th Floor, Shree Ram Krishna Enclave,
Adalhatu Road, Morabadi, Ranchi-834008, Jharkhand",15-Sep-2023 11:30 AM,Online,No,No,08-Sep-2023 09:00 AM,10-Oct-2023 03:30 PM,08-Sep-2023 09:00 AM,09-Oct-2023 03:00 PM,08-Sep-2023 09:00 AM,06-Oct-2023 06:00 PM,08-Sep-2023 09:00 AM,09-Oct-2023 03:00 PM,CGM/P/IPRCL Ranchi,"Indian Port Rail and Ropeway Corporation Ltd
Flat No-404, 4th Floor, Shree Ram Krishna Enclave,
Adalhatu Road, Morabadi, Ranchi-834008, Jharkhand"
Indian Port Rail Corporation Ltd.,IPRCLMUMBAIWCLMAKARDHOKRA,2023_IPRCL_166486_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,"5,900",IPRCL,Mumbai,Yes,"23,86,932",Yes,fixed,NA,IPRCL,Mumbai,IPRCL Mumbai Projects WCL Makardhokra Elec 2023 01,Design Supply Erection Testing and Commissioning 25 KV 50 Hz Single Phase Conventional Type Overhead Equipment OHE Sub Sectioning and Paralleling Post SSP Associated Modifications Associated General Electrical Work at New Makardhokra Station in Conne,Please refer Tender documents.,NA,"11,93,46,582",Electrical Works,NA,Tender,120,365,Makardhokra,441203,NA,NA,NA,Mumbai,No,No,02-Sep-2023 03:00 PM,26-Sep-2023 11:30 AM,02-Sep-2023 03:00 PM,25-Sep-2023 11:00 AM,NA,NA,04-Sep-2023 11:00 AM,25-Sep-2023 11:00 AM,Lavkesh Bhardhwaj,4th Floor Nirman Bhavan Mumbai Port Trust Building M P Road Mazgaon E Mumbai 400010
India Optel Limited||ORDNANCE FACTORY CHANDIGARH - IOL||ENGINEERING OFFICE,OFCD/OTE/Civil/23-24/07,2023_IOL_166912_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,0.00,Nil,Nil,No,"33,980",No,fixed,NA,General Manager Ordnance Factory Chandigarh,Chandigarh,"Repair to boudary walls, toilet doors, cupboard and down take pipes of Type IV, V and VI qt at sector 29A, Chandigarh","Repair to boudary walls, toilet doors, cupboard and down take pipes of Type IV, V and VI qt at sector 29A, Chandigarh",Please refer Tender documents.,NA,"16,99,001",Civil Works,NA,Tender,180,90,Ordnance Factory Estate Sector 29A Chandigarh,160030,NA,NA,NA,Ordnance Factory Chandigarh,No,No,07-Sep-2023 05:00 PM,25-Sep-2023 10:30 AM,07-Sep-2023 05:00 PM,23-Sep-2023 10:00 AM,NA,NA,07-Sep-2023 05:00 PM,23-Sep-2023 10:00 AM,General Manager Ordnance Factory Chandigarh,"Plot no. 183, Business Development Park 1 Chandigarh"
India Optel Limited||ORDNANCE FACTORY CHANDIGARH - IOL||ENGINEERING OFFICE,OFCD/OTE/Civil/23-24/06,2023_IOL_166900_1,Yes,Open Tender,Percentage,Works,2,No,No,Offline,No,No,No,0.00,Nil,Nil,No,"20,000",No,fixed,NA,General Manager Ordnance Factory Chandigarh,Chandigarh,Term Contract for artificer workin amenity buildings at OFCD estate Chandigarh,Term Contract for artificer workin amenity buildings at OFCD estate Chandigarh,Please refer Tender documents.,NA,"10,00,000",Civil Works,NA,Tender,180,365,Ordnance Factory Estate Chandigarh,160030,NA,NA,NA,Ordnance Factory Chandigarh,No,No,07-Sep-2023 05:00 PM,25-Sep-2023 10:30 AM,07-Sep-2023 05:00 PM,23-Sep-2023 10:00 AM,NA,NA,07-Sep-2023 05:00 PM,23-Sep-2023 10:00 AM,General Manager Ordnance Factory Chandigarh,"Plot no. 183, Business and Industrial Park 1 Chandigarh"
India Optel Limited||ORDNANCE FACTORY CHANDIGARH - IOL||ENGINEERING OFFICE,OFCD/OTE/Civil/23-24/05,2023_IOL_166930_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,0.00,Nil,Nil,No,"36,749",No,fixed,NA,General Manager Ordnance Factory Chandigarh,Chandigarh,"Periodical services at Ordnance Factory Estate at sector 29A, Chandigarh IB and Bachelor Hostel Ordnance Club Jr Club and Maintenance Store Bldg both inside and outside","Periodical services at Ordnance Factory Estate at sector 29A, Chandigarh IB and Bachelor Hostel Ordnance Club Jr Club and Maintenance Store Bldg both inside and outside",Please refer Tender documents.,NA,"18,37,436",Civil Works,NA,Tender,180,90,Ordnance Factory Estate Sector 29A,160030,NA,NA,NA,Ordnance Factory Chandigahr,No,No,07-Sep-2023 05:00 PM,25-Sep-2023 10:30 AM,07-Sep-2023 05:00 PM,23-Sep-2023 10:00 AM,NA,NA,07-Sep-2023 05:00 PM,23-Sep-2023 10:00 AM,General Manager Ordnance Factory Chandigarh,"Plot no. 183, Business and Industrial Park 1, Chandigarh"
India Optel Limited||ORDNANCE FACTORY CHANDIGARH - IOL||ENGINEERING OFFICE,EO/OTE/Civil/23-24/08,2023_IOL_166938_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,0.00,Nil,Nil,No,"40,080",No,fixed,NA,General Manager Ordnance Factory Chandigarh,Chandigarh,Repair to floor and trenches of the various production shops and store buildings at OFCd,Repair to floor and trenches of the various production shops and store buildings at OFCd,Please refer Tender documents.,NA,"20,03,987",Civil Works,NA,Tender,180,90,Ordnance Factory Chandigarh,160030,NA,NA,NA,Ordnance Factory Chandigarh,No,No,07-Sep-2023 05:00 PM,25-Sep-2023 10:30 AM,07-Sep-2023 05:00 PM,23-Sep-2023 10:00 AM,NA,NA,07-Sep-2023 05:00 PM,23-Sep-2023 10:00 AM,General Manager Ordnance Factory Chandigarh,Plot No183 Business and Industrial Park1 Chandigah
India Optel Limited||ORDNANCE FACTORY CHANDIGARH - IOL||ENGINEERING OFFICE,OFCD/OTE/Civil/2023-24/03,2023_IOL_166802_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,0.00,Nil,Nil,No,"71,362",No,fixed,NA,General Manager Ordnance Factory Chandigarh,Chandigarh,Periodical Services at Ordnance Factory Estate at Sector 29A Chandigarh  Type IV V VI inside and outside,Periodical Services at Ordnance Factory Estate at Sector 29A Chandigarh  Type IV V VI inside and outside,Please refer Tender documents.,NA,"35,68,120",Civil Works - Others,NA,Tender,180,120,"OFCD Estate sector 29A, Chandigarh",160030,NA,NA,NA,Chandigarh,No,No,06-Sep-2023 05:00 PM,23-Sep-2023 10:30 AM,06-Sep-2023 05:00 PM,22-Sep-2023 10:00 AM,NA,NA,06-Sep-2023 05:00 PM,22-Sep-2023 10:00 AM,"GM, Ordnance Factory Chandigarh",Plot no 183 Business and Industrial Park 1 Chandigarh
India Optel Limited||ORDNANCE FACTORY CHANDIGARH - IOL||ENGINEERING OFFICE,OFCD/OTE/Civil/23-24/04,2023_IOL_166868_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,0.00,Nil,Nil,No,"1,61,159",No,fixed,NA,General Manager Ordnance Factory Chandigarh,Chandigarh,Periodical Services at Ordnance Factory Estate at Sector 29A Chandigarh Type I II III inside and outside,Periodical Services at Ordnance Factory Estate at Sector 29A Chandigarh Type I II III inside and outside,Please refer Tender documents.,NA,"90,77,249",Civil Works,NA,Tender,180,180,Ordnance Factory Estate Sector 29A Chandigarh,160030,NA,NA,NA,Ordnance Factory Chandigarh,No,No,06-Sep-2023 03:30 PM,23-Sep-2023 10:30 AM,06-Sep-2023 03:30 PM,22-Sep-2023 10:00 AM,NA,NA,06-Sep-2023 03:30 PM,22-Sep-2023 10:00 AM,General Manager Ordnance Factory Chandigarh,Plot no. 183 Business and Industrial Park 1 Chandigarh
India Tourism Development Corporation Ltd.||HeadQuarter - ITDC,AH/Engg-civil/ARC/Wooden Flooring/2023,2023_ITDC_167379_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,0.00,Nil,Nil,No,"12,100",Yes,fixed,NA,The Ashok Hotel,New Delhi,"Annual Rate Contract for rectification of gap and  repairing of wooden flooring in Guest Rooms at The Ashok, New Delhi","Annual Rate Contract for rectification of gap and repairing of wooden flooring in Guest Rooms at The Ashok, New Delhi",Please refer Tender documents.,NA,"6,03,288",Civil Works,NA,Tender,90,365,The Ashok Hotel,110021,NA,NA,NA,THe Ashok Hotel,No,No,12-Sep-2023 04:30 PM,21-Sep-2023 04:00 PM,12-Sep-2023 04:40 PM,20-Sep-2023 04:00 PM,NA,NA,12-Sep-2023 04:50 PM,20-Sep-2023 04:00 PM,DGM (Civil),"The Ashok Hotel, (A Unit of ITDC) 50-B, Diplomatic Enclave, Chanakya Puri,
New Delhi-110021"
India Tourism Development Corporation Ltd.||The Ashok - ITDC,Engg/EM/BT/23-24,2023_ITDC_167321_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,0.00,Nil,Nil,No,"30,000",Yes,fixed,NA,Hotel Samrat,New Delhi,Supply and fixing of 2000 Amp sandwich type Bus Trunking for transformers at Hotel Samrat New Delhi,Supply and fixing of 2000 Amp sandwich type Bus Trunking for transformers at Hotel Samrat New Delhi,As per tender documents,NA,"14,89,242",Electrical Works,HT/LT Electrical work,Tender,90,90,New Delhi,110021,NA,NA,NA,Hotel Samrat,No,No,12-Sep-2023 12:00 PM,22-Sep-2023 04:00 PM,12-Sep-2023 12:00 PM,21-Sep-2023 04:00 PM,NA,NA,12-Sep-2023 12:00 PM,21-Sep-2023 04:00 PM,Sr. Mgr. E and M,"Samrat Hotel,
50B, Kautilya Marg,
Chanakyapuri,
New Delhi-110021"
India Tourism Development Corporation Ltd.||HeadQuarter - ITDC,AH/Engg./Urgent Work/2023,2023_ITDC_166741_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,0.00,Nil,Nil,No,"4,250",Yes,fixed,NA,As per NIT,New Delhi,"Replacement of Damaged Water Tanks Supporting MS Structure at  Terrace of The Ashok Hotel, New Delhi","Replacement of Damaged Water Tanks Supporting MS Structure at  Terrace of The Ashok Hotel, New Delhi",Please refer Tender documents.,NA,"2,12,134",Civil Works,NA,Tender,90,30,"The Ashok Hotel, New Delhi",110021,NA,NA,NA,"The Ashok Hotel, New Delhi",No,No,06-Sep-2023 09:00 AM,22-Sep-2023 04:00 PM,06-Sep-2023 09:15 AM,21-Sep-2023 04:00 PM,NA,NA,06-Sep-2023 09:30 AM,21-Sep-2023 04:00 PM,Sr. Mgr Civil,"The Ashok Hotel, New Delhi"
